Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
02/20/2021,9.4,0.2,0.9,6.1,12.8,10.2,11.7,10.1,6.4,6.3,7.5,9.3,9.3,7.9,4.6,5.1,7.3,13.3,0,0,0,0,0,0.3,1.7,1.6,0.1,0.2,0.1,0.1,0.3,0.1,0,0,0.2,0.6,0.7,1.4,1.9,2.7,4.2,0.9,0.8,0.6,0.3,1.5,0.5,0.7,254.4,5,23.5,33.3,70.9,46.4,39.4,31.6,16.9,9.9,6,129.3,123.3,61.4,8.3,40.1,65.4,15.9,0,0,0,0.1,0.1,0.7,2.7,1.3,2,3,1.1,0.1,2.4,1.3,0,0.2,1.2,2.8,2.3,4.5,5,4.2,3.3,12.8,10.7,4.8,0.5,11.8,4.3,0.8
03/19/2020,3.3,0,0.7,0.2,2.8,4.5,5.6,4.4,4.1,3.8,2.9,2.9,3.7,1.2,2.8,4.2,3.9,1.6,0,0,0,0,0,0.1,0.1,0.4,0,0,0,0,0.1,0,0,0,0.1,0.3,1.1,1.3,1.7,2.8,2.3,0.5,1,0.4,0.5,1.5,0.5,0.1,89,0.7,20.1,1.1,15.7,20.6,19,13.7,10.7,5.9,2.3,39.9,49,9.4,5,33.3,35.3,1.9,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.3,0,0,0.6,0.1,0,0,0.7,1.1,3.7,4,4.4,4.3,1.9,7.1,13,2.9,0.9,11.6,4.6,0.1
03/24/2020,7.6,0.1,2.1,0.5,6,8.6,11.5,11.6,10.5,12.8,8.4,6.9,8.3,3.8,4.9,12,6.3,4.8,0,0,0,0,0,0.2,0.2,0.5,0,0.1,0,0,0.2,0,0.1,0.1,0.5,1.3,2.5,4,4.5,7.7,6.1,1.8,2.5,1.3,1.4,4.5,0.9,1.2,204.9,1.7,58.1,2.9,33.4,39.3,38.6,36.4,27.7,19.9,6.7,95,109.7,29.4,8.9,93.9,56.7,5.7,0.1,0.1,0,0.1,0.1,0.4,0.3,0.4,0.3,1.4,0.1,0,1.3,0.1,0.1,0.3,2.7,5.7,8.3,12.6,11.7,12,4.9,25.1,33,10.1,2.4,35,8.4,1.4
04/12/2020,19.7,1.1,4.9,2.2,12.8,19.8,26.5,33.3,30.5,30.6,47.9,18.1,20.5,18.5,10.3,25.9,8.9,20.8,0,0,0.1,0.4,1.5,2.2,5.2,11.3,0.9,1.3,0.6,0.6,2.4,0.5,0.2,0.1,0.6,2.1,4.1,8.4,12,16.1,28.4,4.3,5.5,4.1,2.9,9,2.3,2.9,532.7,29.3,132.7,12,70.7,90.6,89.1,104.1,80.3,47.6,38.3,250.6,270.3,143.9,18.6,202.9,80.3,24.9,0,0,0.4,1.4,4.6,5.9,8,9,12.6,16.7,4.6,1.1,19,4.3,0.3,0.6,3.4,9.4,13.9,26.1,31.6,25,22.7,60.3,72,31.9,5.3,70.6,20.7,3.4
03/25/2020,8.7,0.1,2.5,0.5,6.6,9.8,12.8,14.3,11.4,15.1,11.1,7.8,9.6,4.3,5.1,14.2,6.7,6.6,0,0,0,0,0.1,0.2,0.2,0.7,0,0.1,0,0,0.2,0,0.1,0.1,0.6,1.6,2.8,4.7,4.7,9.2,7.7,2.2,2.9,1.4,1.3,5.6,1,1.3,234.1,2.3,68.3,2.9,36.3,44.9,43.1,44.9,29.9,23.4,8.9,107.7,126.3,33.7,9.1,111.1,60.1,7.9,0.1,0.1,0.1,0.1,0.3,0.6,0.3,0.6,0.6,1.7,0.3,0,1.6,0.3,0.1,0.3,3.4,7.4,9.6,14.9,12.3,14.3,6.1,30.3,38,11,2.3,43.7,9.1,1.6
04/13/2020,20.3,1.1,4.6,2.3,13.3,20.4,27.6,35.6,30.3,30.3,47.3,18.6,21.1,20.4,10.6,25.5,8.9,21.3,0,0,0.1,0.6,1.4,2.6,5.1,11.8,1,1.3,0.7,0.8,2.4,0.5,0.2,0.1,0.6,1.7,4,8,10.2,16,29.3,3.9,5.4,3.9,2.7,8.3,2.3,3.1,548.3,30.9,125.6,12.7,73.7,93.1,92.7,111.4,79.6,47.1,37.9,258,279,158.4,19.1,199.7,79.7,25.4,0,0,0.6,1.9,4.3,6.9,7.9,9.4,13.4,17.4,5.7,1.4,19.1,4.3,0.3,0.7,3.4,7.7,13.6,25.1,26.7,24.9,23.4,54,71.1,30.6,4.9,65,20.7,3.7
04/26/2020,34.4,1.6,4,4.8,27.2,33.3,49.8,52.6,49.2,43.6,91.3,32.9,33.7,46,11.4,26.8,12.7,35.5,0,0.1,0.3,0.6,1.2,3.6,6.8,18.4,1.2,2,1.6,1,2.5,1,0.2,0.2,0.7,1.9,3.7,6.3,9.2,11.8,25.7,3.6,4.5,4.8,1.9,5.4,2.1,4.1,931,42.7,108.6,26.1,150.3,152.1,167.6,164.6,129.4,67.7,73,456.6,444.9,357.1,20.4,210.3,114.3,42.4,0,0.6,1.3,2.1,3.9,9.6,10.6,14.7,16.1,26.6,12.6,1.7,19.6,8.6,0.3,0.9,3.9,8.7,12.6,19.6,24.1,18.3,20.6,49.3,59,37.6,3.4,42.6,19,4.9
03/18/2020,2.4,0,0.6,0.1,2.1,3.2,4.2,3.4,3.3,2.3,2.5,2.1,2.8,0.9,2,2.8,3.2,0.7,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0.1,0,0,0,0.1,0.2,0.8,0.9,1.5,2.1,2.1,0.4,0.8,0.3,0.5,1.1,0.4,0,65.7,0.4,16,0.4,11.7,14.6,14.1,10.7,8.6,3.6,2,28.4,37.1,6.9,3.6,22.1,28.4,0.9,0,0,0,0,0.1,0.1,0,0.1,0.3,0.1,0,0,0.4,0,0,0,0.6,1,2.6,2.9,4,3.3,1.7,5.4,10.6,2.3,0.9,8.9,3.9,0
03/16/2020,1.2,0,0.4,0.1,1.1,1.7,2,1.7,1.4,1.3,1.1,1,1.4,0.4,1.2,1.1,1.7,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.5,1,1.1,0.9,0.3,0.4,0.2,0.2,0.7,0.3,0.1,32.1,0.1,9.9,0.3,5.9,7.6,6.6,5.4,3.6,2,0.9,13.3,18.9,3.4,2.1,8.4,15.6,0.3,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0.4,0.6,2.1,1.7,2.6,1.7,0.7,4.1,5.7,1.3,0.4,5.6,2.4,0.1
03/17/2020,1.6,0,0.5,0,1.4,2.2,2.6,2.5,2.4,1.3,1.6,1.3,2,0.6,1.4,1.7,2.3,0.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.7,0.7,1.2,1.4,1.3,0.3,0.6,0.2,0.2,0.9,0.3,0,44.3,0.3,12.3,0.1,7.7,10.1,8.9,7.9,6.3,2,1.3,17.4,26.7,4.4,2.4,13.7,20.3,0.4,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0.3,0,0,0,0.6,0.7,2.4,2.3,3.1,2.1,1,4.7,7.6,1.7,0.4,7.1,3,0
