Zip Code,Date,Total Doses - Daily,Total Doses - Cumulative,1st Dose - Daily,1st Dose - Cumulative,1st Dose - Percent Population,Vaccine Series Completed - Daily,Vaccine Series Completed - Cumulative,Vaccine Series Completed  - Percent Population,Population,ZIP Code Location,Row_ID
60603,12/15/2020,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201215
60603,12/16/2020,0,0,0,0,0,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201216
60603,12/17/2020,8,8,8,8,0.008,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201217
60603,12/18/2020,6,14,6,14,0.013,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201218
60603,12/19/2020,4,18,4,18,0.017,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201219
60603,12/20/2020,5,23,5,23,0.022,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201220
60603,12/21/2020,5,28,5,28,0.027,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201221
60603,12/22/2020,7,35,7,35,0.033,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201222
60603,12/23/2020,0,35,0,35,0.033,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201223
60603,12/24/2020,1,36,1,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201224
60603,12/25/2020,0,36,0,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201225
60603,12/26/2020,0,36,0,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201226
60603,12/27/2020,0,36,0,36,0.034,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201227
60603,12/28/2020,1,37,1,37,0.035,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201228
60603,12/29/2020,2,39,2,39,0.037,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201229
60603,12/30/2020,3,42,3,42,0.04,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201230
60666,02/23/2021,1,27,0,23,0,1,4,0,0,POINT (-87.896371 41.979511),60666-20210223
60603,12/31/2020,1,43,1,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20201231
60603,01/01/2021,0,43,0,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210101
60603,01/02/2021,0,43,0,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210102
60603,01/03/2021,0,43,0,43,0.041,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210103
60603,01/04/2021,2,45,2,45,0.043,0,0,0,1052,POINT (-87.625473 41.880112),60603-20210104
60603,01/05/2021,3,48,2,47,0.045,1,1,0.001,1052,POINT (-87.625473 41.880112),60603-20210105
60603,01/07/2021,11,60,1,49,0.047,10,11,0.01,1052,POINT (-87.625473 41.880112),60603-20210107
60603,01/08/2021,9,69,2,51,0.048,7,18,0.017,1052,POINT (-87.625473 41.880112),60603-20210108
60603,01/09/2021,42,111,37,88,0.084,5,23,0.022,1052,POINT (-87.625473 41.880112),60603-20210109
60603,01/10/2021,3,114,1,89,0.085,2,25,0.024,1052,POINT (-87.625473 41.880112),60603-20210110
60603,01/11/2021,1,115,0,89,0.085,1,26,0.025,1052,POINT (-87.625473 41.880112),60603-20210111
60603,01/12/2021,7,122,1,90,0.086,6,32,0.03,1052,POINT (-87.625473 41.880112),60603-20210112
60603,01/13/2021,2,124,2,92,0.087,0,32,0.03,1052,POINT (-87.625473 41.880112),60603-20210113
60603,01/14/2021,5,129,4,96,0.091,1,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210114
60603,01/15/2021,11,140,11,107,0.102,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210115
60603,01/16/2021,35,175,35,142,0.135,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210116
60603,01/17/2021,2,177,2,144,0.137,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210117
60603,01/18/2021,3,180,3,147,0.14,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210118
60603,01/19/2021,0,180,0,147,0.14,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210119
60603,01/20/2021,7,187,7,154,0.146,0,33,0.031,1052,POINT (-87.625473 41.880112),60603-20210120
60603,01/21/2021,13,200,10,164,0.156,3,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210121
60603,01/22/2021,23,223,23,187,0.178,0,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210122
60603,01/23/2021,9,232,9,196,0.186,0,36,0.034,1052,POINT (-87.625473 41.880112),60603-20210123
60603,01/24/2021,2,234,1,197,0.187,1,37,0.035,1052,POINT (-87.625473 41.880112),60603-20210124
60603,01/25/2021,4,238,3,200,0.19,1,38,0.036,1052,POINT (-87.625473 41.880112),60603-20210125
60603,01/26/2021,6,244,4,204,0.194,2,40,0.038,1052,POINT (-87.625473 41.880112),60603-20210126
